Event.Id,Investigation.Type,Event.Date,Latitude,Longitude,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Year,Make.and.Model
20001213X27315,Accident,11/14/88,,,,Fatal,Unknown,Airplane,Airbus,A300,0,Unknown,Part 121: Air Carrier,Unknown,,1,4,222,VMC,Unknown,Foreign,1988,Airbus A300
20001208X08107,Incident,6/30/97,,,,Incident,Unknown,Airplane,Airbus,A300,UNK,Unknown,Part 129: Foreign,Unknown,,,,2,UNK,Unknown,Foreign,1997,Airbus A300
20001211X10544,Incident,7/9/98,,,,Incident,Minor,Airplane,Airbus,A300,UNK,Unknown,Part 121: Air Carrier,Unknown,,,,1,UNK,Unknown,Foreign,1998,Airbus A300
20010108X00060,Incident,8/28/98,,,,Incident,Minor,Airplane,Airbus,A319,UNK,Unknown,Part 129: Foreign,Unknown,,,,,UNK,Unknown,Foreign,1998,Airbus A319
20001211X11406,Incident,11/27/98,,,,Incident,Unknown,Airplane,Airbus,A300,UNK,Unknown,"Non-U.S., Commercial",Unknown,,,,,UNK,Unknown,Foreign,1998,Airbus A300
20001212X18967,Accident,6/28/99,,,,Fatal,Substantial,Airplane,Airbus,A310,UNK,Turbo Fan,Part 121: Air Carrier,Uknown,,,,3,VMC,Unknown,Foreign,1999,Airbus A310
20001212X20343,Accident,1/30/00,,,,Fatal,Destroyed,Airplane,Airbus,A310,UNK,Unknown,Part 129: Foreign,Unknown,169,,10,,UNK,Unknown,Foreign,2000,Airbus A310
20051213X01965,Accident,5/10/05,44.880556,-93.216945,MINNEAPOLIS-ST PAUL INTL/WOLD-,Fatal,Substantial,Airplane,Airbus,A319,2,Turbo Fan,Part 121: Air Carrier,Uknown,,1,7,137,VMC,Taxi,Probable Cause,2005,Airbus A319
20081003X63346,Incident,6/29/05,,,Amsterdam Inter. Schipol,Incident,Minor,Airplane,Airbus,A300,2,Turbo Fan,"Non-U.S., Commercial",Uknown,,,,279,UNK,Unknown,Foreign,2005,Airbus A300
20050817X01269,Incident,8/3/05,39.861667,-104.673056,Denver International Airport,Incident,Minor,Airplane,Airbus,A320,2,Turbo Fan,Part 121: Air Carrier,Uknown,,,,324,VMC,Standing,Probable Cause,2005,Airbus A320
20050817X01269,Incident,8/3/05,39.861667,-104.673056,Denver International Airport,Incident,Minor,Airplane,Airbus,A320,2,Turbo Fan,Part 121: Air Carrier,Uknown,,,,324,VMC,Taxi,Probable Cause,2005,Airbus A320
20050927X01540,Incident,9/21/05,33.9425,-118.408056,Los Angeles International,Incident,Minor,Airplane,Airbus,A320,2,Turbo Jet,Part 121: Air Carrier,Uknown,0,0,0,146,VMC,Takeoff,Probable Cause,2005,Airbus A320
20051206X01938,Accident,11/6/05,,,,Fatal,Unknown,Airplane,Airbus,A340,UNK,UNK,"Non-U.S., Commercial",Uknown,,,,243,UNK,Unknown,Foreign,2005,Airbus A340
20081219X65319,Accident,5/3/06,,,"Sochi, Russia",Fatal,Destroyed,Airplane,Airbus,A320,2,Turbo Fan,"Non-U.S., Commercial",Uknown,113,,,,IMC,Unknown,Foreign,2006,Airbus A320
20120502X05030,Incident,5/28/06,,,Dubai International Airport,Incident,Minor,Airplane,Airbus,A330,2,Turbo Fan,"Non-U.S., Commercial",Uknown,,,,221,UNK,Unknown,Foreign,2006,Airbus A330
20090617X33156,Incident,8/2/06,,,Shenzhen Baoan Airport,Incident,Unknown,Airplane,Airbus,A320,2,Turbo Fan,"Non-U.S., Commercial",Uknown,,,,,UNK,Unknown,Foreign,2006,Airbus A320
20061015X01521,Accident,9/8/06,40.777223,-73.8725,La Guardia Airport,Fatal,Minor,Airplane,Airbus,A319,2,Turbo Fan,Part 129: Foreign,Uknown,,,,179,VMC,Taxi,Probable Cause,2006,Airbus A319
20070426X00458,Accident,11/7/06,41.978611,-87.904722,O'Hare International,Fatal,Minor,Airplane,Airbus,A320,2,Turbo Fan,Part 121: Air Carrier,Uknown,,,,216,IMC,Taxi,Probable Cause,2006,Airbus A320
20081219X65331,Incident,2/10/07,,,Shanghai International Airport,Incident,Unknown,Airplane,Airbus,A300,2,Turbo Fan,Unknown,Uknown,,,,2,UNK,Unknown,Foreign,2007,Airbus A300
20081219X65340,Incident,7/23/07,,,,Incident,Unknown,Airplane,Airbus,A330,2,Turbo Fan,"Non-U.S., Commercial",Uknown,,,,,UNK,Unknown,Foreign,2007,Airbus A330
20071023X01635,Incident,10/9/07,41.968611,-87.907778,CHICAGO O'HARE INTL,Incident,Minor,Airplane,Airbus,A320,2,Turbo Fan,Part 121: Air Carrier,Uknown,,,2,125,VMC,Landing,Probable Cause,2007,Airbus A320
20071023X01634,Incident,10/20/07,46.920556,-96.815833,Hector International,Incident,Minor,Airplane,Airbus,A320,2,Turbo Jet,Part 121: Air Carrier,Uknown,,,,138,VMC,Landing,Probable Cause,2007,Airbus A320
20080107X00025,Accident,12/25/07,21.318611,-157.9225,Honolulu International,Fatal,Unknown,Airplane,Airbus,A330,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,1,3,291,VMC,Cruise,Probable Cause,2007,Airbus A330
20080125X00103,Accident,1/9/08,421245N,0832112W,Detroit Metro,Fatal,Substantial,Airplane,Airbus,A319,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,0,0,73,VMC,Unknown,The separation of the engine cowling which resulted from maintenance personnel failing to follow maintenance procedures in that they did not latch the engine cowling following the maintenance inspection.  A factor associated with the accident was their attention was divereted from the task when another mechanic asked for assistance.,2008,Airbus A319
20080122X00081,Incident,1/10/08,048510N,0119230W,,Fatal,Unknown,Airplane,Airbus,A319,UNK,UNK,NUSC,Uknown,0,11,0,77,UNK,Unknown,,2008,Airbus A319
20080514X00667,Incident,1/25/08,404123N,0741028W,Newark Liberty Intl,Fatal,Unknown,Airplane,Airbus,A320,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,0,0,107,VMC,Unknown,a fault in the airplane's AC 1 electrical bus that caused a number of other electrical busses on the aircraft to lose power.,2008,Airbus A320
20080312X00305,Incident,2/26/08,433622N,1104419W,Jackson Hole,Fatal,Minor,Airplane,Airbus,A320,UNK,Turbo Fan,Part 121: Air Carrier,Uknown,0,1,0,124,VMC,Unknown,the loss of braking action on the left main landing gear due to the cross connection of the wheel speed tachometer wires that was caused by inadequate maintenance performed on the airplane during the installation of the main landing gear.,2008,Airbus A320
20090408X80351,Incident,3/30/08,,,Allama Iqbal International,Unavailable,Minor,Airplane,Airbus,A321,2,Turbo Fan,NUSC,Uknown,0,0,0,0,UNK,Unknown,"The accident is being investigated by the Pakistani Civil Aviation Authority. Further information pertaining to this incident may be obtained from:

Headquarters, Civil Aviation Authority
Terminal-1, JIAP
Karachi-75200
Pakistan

Tel.:	(92) 21 924 8720
E-mail:	dgcaa@caapakistan.com.pk
Fax:	(92) 21 924 8722
Telex:	29534 DGCAA PK
SITA:	KHIAPXX to DG HQCAA
AFTN:	OPHQYAYX

This report is for informational purposes only and contains only information obtained for, or released by, the Government of Pakistan",2008,Airbus A321
20080604X00782,Accident,5/30/08,014339N,0087132W,,Fatal,Substantial,Airplane,Airbus,A320,UNK,UNK,NUSC,Uknown,3,5,0,126,IMC,Unknown,,2008,Airbus A320
20081003X16302,Accident,6/10/08,,,,Fatal,Destroyed,Airplane,Airbus,A310,UNK,UNK,NUSC,Uknown,30,0,0,184,IMC,Unknown,,2008,Airbus A310
20080729X01123,Incident,7/24/08,395142N,1044023W,Denver International,Fatal,Minor,Airplane,Airbus,A319,2,Turbo Fan,Part 129: Foreign,Uknown,0,0,0,99,VMC,Unknown,"Total failure of the right inboard tire. Contributing to this incident were the low pressure of the tire, and the high tire heat generated by the previous rejected takeoff.",2008,Airbus A319
20081031X50731,Accident,10/7/08,022140S,0011450E,,Fatal,Minor,Airplane,Airbus,A330,2,UNK,NUSC,Uknown,0,0,22,293,UNK,Unknown,,2008,Airbus A330
20081027X75039,Accident,10/20/08,033267N,0112036W,Sky Harbor International,Fatal,Substantial,Airplane,Airbus,A320,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,0,0,162,VMC,Unknown,The failure of the flightcrew to arrest an excessive sink rate during the flare for landing.,2008,Airbus A320
20081128X43319,Accident,11/27/08,042400N,0000360E,,Fatal,Destroyed,Airplane,Airbus,A320,2,UNK,NUSN,Flight Test,7,0,0,0,UNK,Unknown,,2008,Airbus A320
20090115X73226,Accident,1/15/09,404619N,0072526W,New York La Guardia,Fatal,Substantial,Airplane,Airbus,A320,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,0,5,150,UNK,Unknown,"The ingestion of large birds into each engine, which resulted in an almost total loss of thrust in both engines and the subsequent ditching on the Hudson River. Contributing to the fuselage damage and resulting unavailability of the aft slide/rafts were (1) the Federal Aviation Administrations approval of ditching certification without determining whether pilots could attain the ditching parameters without engine thrust, (2) the lack of industry flight crew training and guidance on ditching techniques, and (3) the captains resulting difficulty maintaining his intended airspeed on final approach due to the task saturation resulting from the emergency situation.

Contributing to the survivability of the accident was (1) the decision-making of the flight crewmembers and their crew resource management during the accident sequence; (2) the fortuitous use of an airplane that was equipped for an extended overwater flight, including the availability of the forward slide/rafts, even though it was not required to be so equipped; (3) the performance of the cabin crewmembers while expediting the evacuation of the airplane; and (4) the proximity of the emergency responders to the accident site and their immediate and appropriate response to the accident.",2009,Airbus A320
20090505X04553,Accident,5/4/09,039450N,1045957W,Denver International,Fatal,Substantial,Airplane,Airbus,A320,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,4,0,150,VMC,Unknown,"The first officers excessive pitch-up of the airplane while landing with a tailwind, which resulted in a tailstrike following a bounced landing. Contributing to the bounced landing were a high descent rate and excessive thrust resulting from the first officers delay in retarding the thrust levers to idle, thereby providing residual thrust and preventing spoiler deployment.",2009,Airbus A320
20090624X02042,Incident,5/22/09,,,Los Cayes,Fatal,Unknown,Airplane,Airbus,A330,2,Turbo Fan,Part 129: Foreign,Uknown,0,0,0,176,VMC,Unknown,"The final report for this incident was combined with and can be found under NTSB Investigation number, DCA09IA064.",2009,Airbus A330
20090601X72555,Accident,6/1/09,025848N,0303524W,,Fatal,Destroyed,Airplane,Airbus,A330,2,UNK,NUSC,Uknown,228,0,0,0,UNK,Unknown,.,2009,Airbus A330
20090706X72654,Incident,6/23/09,,,Kagoshima,Fatal,Unknown,Airplane,Airbus,A330,2,Turbo Fan,NUSC,Uknown,0,0,0,217,IMC,Unknown,"Brief and temporary blockage of the pitot probes in cruise flight, most likely due to ice crystals aloft, leading to erroneous airspeed indications and airplane automation degradation as designed. 

Contributing to the incidents were design features of the Thales AA probes which left them more susceptible to high altitude ice crystal icing than other approved pitot probe designs.",2009,Airbus A330
20090628X32005,Accident,6/29/09,113211S,0431617E,Prince Said Ibrahim Intl.,Fatal,Destroyed,Airplane,Airbus,A310,2,UNK,NUSC,Uknown,152,0,1,0,UNK,Unknown,,2009,Airbus A310
20090712X94532,Accident,7/10/09,263210N,0814519W,Southwest Florida Internationa,Fatal,Unknown,Airplane,Airbus,A320,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,2,2,149,VMC,Unknown,An inadvertent in-flight encounter with turbulence during approach. Contributing to the accident was the passengers' failure to follow the instructions of the illuminated seatbelt sign.,2009,Airbus A320
20090910X94141,Incident,8/5/09,,,Paris Orly,Unavailable,Minor,Airplane,Airbus,A320,2,Turbo Fan,NUSC,Uknown,0,0,0,0,UNK,Unknown,,2009,Airbus A320
