Index,Event.Id,Investigation.Type,Event.Date,Latitude,Longitude,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Year,Make.and.Model
0,20020917X02242,Accident,1/6/82,,,,Fatal,Substantial,Airplane,Boeing,A75,1,Reciprocating,Part 91: General Aviation,Unknown,0,1,0,1,IMC,Cruise,Probable Cause,1982,Boeing A75
1,20020917X02585,Accident,2/6/82,,,MEDFORD-JACKSON COUNTY,Fatal,Minor,Airplane,Boeing,A75N1,1,Reciprocating,Part 137: Agricultural,Aerial Application,0,0,0,3,VMC,Taxi,Probable Cause,1982,Boeing A75N1
2,20020917X02336,Incident,2/15/82,,,ONTARIO INTERNATIONAL,Incident,Minor,Airplane,Boeing,737,2,Turbo Jet,Part 121: Air Carrier,Unknown,0,0,0,119,IMC,Approach,Probable Cause,1982,Boeing 737
3,20020917X02151,Incident,2/19/82,,,HARLINGEN IND.AIR PARK,Incident,Unknown,Airplane,Boeing,727,3,Turbo Jet,Part 129: Foreign,Uknown,,,,83,IMC,Landing,Probable Cause,1982,Boeing 727
4,20020917X02477,Incident,3/8/82,,,MCCARRAN INTERNATL,Incident,Unknown,Airplane,Boeing,707,4,Turbo Fan,Part 121: Air Carrier,Unknown,1,0,0,0,VMC,Standing,Probable Cause,1982,Boeing 707
5,20020917X02154,Accident,3/13/82,,,,Fatal,Destroyed,Airplane,Boeing,Kc-135A,4,Turbo Jet,Unknown,Unknown,6,0,0,0,UNK,Approach,Probable Cause,1982,Boeing Kc-135A
6,20020917X02279,Accident,3/24/82,,,MARANA AIRPARK,Fatal,Substantial,Airplane,Boeing,707,4,Turbo Jet,Part 91: General Aviation,Ferry,0,0,0,7,VMC,Landing,Probable Cause,1982,Boeing 707
7,20020917X01904,Incident,4/9/82,,,YOUNGSTOWN MUNICIPAL,Incident,Minor,Airplane,Boeing,727,3,Turbo Fan,Part 121: Air Carrier,Unknown,0,0,0,108,IMC,Landing,Probable Cause,1982,Boeing 727
8,20020917X02079,Accident,4/18/82,,,AUSTIN MUNI,Fatal,Substantial,Airplane,Boeing,727,3,Turbo Fan,Part 121: Air Carrier,Unknown,0,0,0,68,VMC,Landing,Probable Cause,1982,Boeing 727
9,20020917X02138,Accident,4/27/82,,,,Fatal,Destroyed,Airplane,Boeing,A75,1,Reciprocating,Part 137: Agricultural,Aerial Application,1,0,0,0,VMC,Maneuvering,Probable Cause,1982,Boeing A75
10,20020917X03255,Accident,5/1/82,,,,Fatal,Destroyed,Airplane,Boeing,E75,1,Reciprocating,Part 137: Agricultural,Aerial Application,0,0,0,1,VMC,Maneuvering,Probable Cause,1982,Boeing E75
11,20020917X03245,Accident,5/2/82,,,,Fatal,Substantial,Airplane,Boeing,E75,1,Reciprocating,Part 91: General Aviation,Ferry,0,0,1,1,VMC,Cruise,Probable Cause,1982,Boeing E75
12,20020917X03634,Accident,5/7/82,,,FARMER STRIP,Fatal,Substantial,Airplane,Boeing,A75,1,Reciprocating,Part 137: Agricultural,Aerial Application,0,0,1,0,VMC,Takeoff,Probable Cause,1982,Boeing A75
13,20020917X03717,Accident,5/8/82,,,CATLETT AG STRIP,Fatal,Substantial,Airplane,Boeing,A75N1,1,Reciprocating,Part 137: Agricultural,Aerial Application,1,0,0,1,VMC,Landing,Probable Cause,1982,Boeing A75N1
14,20020917X03199,Accident,5/21/82,,,VINCE AIRPORT,Fatal,Substantial,Airplane,Boeing,A75N1,1,Reciprocating,Part 137: Agricultural,Unknown,0,0,0,1,VMC,Maneuvering,Probable Cause,1982,Boeing A75N1
15,20020917X03305,Accident,6/16/82,,,,Fatal,Substantial,Airplane,Boeing,75A,1,Reciprocating,Part 137: Agricultural,Unknown,0,0,0,1,VMC,Climb,Probable Cause,1982,Boeing 75A
16,20020917X04065,Incident,7/5/82,,,LAGUARDIA,Incident,Minor,Airplane,Boeing,727,3,Turbo Fan,Part 129: Foreign,Uknown,,,,74,VMC,Climb,Probable Cause,1982,Boeing 727
17,20020917X03633,Accident,7/9/82,,,MADERO,Fatal,Substantial,Airplane,Boeing,N2S-1-A-75A,1,Reciprocating,Part 91: General Aviation,Instructional,0,0,0,1,UNK,Landing,Probable Cause,1982,Boeing N2S-1-A-75A
18,20020917X04067,Incident,7/28/82,,,LAGUARDIA,Incident,Minor,Airplane,Boeing,727,3,Turbo Fan,Part 121: Air Carrier,Unknown,0,0,0,129,IMC,Approach,Probable Cause,1982,Boeing 727
19,20020917X04015,Accident,7/31/82,,,,Fatal,Substantial,Airplane,Boeing,Pt-17,1,Reciprocating,Part 137: Agricultural,Unknown,0,0,0,1,VMC,Climb,Probable Cause,1982,Boeing Pt-17
20,20020917X03240,Incident,8/5/82,,,STAPLETON INTERNATIONAL,Incident,Minor,Airplane,Boeing,737,2,Turbo Fan,Part 121: Air Carrier,Unknown,0,0,0,102,VMC,Takeoff,Probable Cause,1982,Boeing 737
21,20020917X03898,Incident,8/12/82,,,LEE BIRD FIELD,Incident,Minor,Airplane,Boeing,737,2,Turbo Fan,Part 121: Air Carrier,Unknown,0,0,33,0,IMC,Approach,Probable Cause,1982,Boeing 737
22,20020917X03778,Accident,8/31/82,,,,Fatal,Substantial,Airplane,Boeing,A75N1,1,Reciprocating,Part 137: Agricultural,Unknown,0,0,0,1,VMC,Cruise,Probable Cause,1982,Boeing A75N1
23,20020917X04491,Incident,9/2/82,,,WASHINGTON NATIONAL,Incident,Unknown,Airplane,Boeing,727,3,Turbo Fan,Part 121: Air Carrier,Unknown,0,1,1,128,VMC,Descent,Probable Cause,1982,Boeing 727
24,20020917X04699,Accident,11/2/82,,,,Fatal,Unknown,Airplane,Boeing,737,2,Turbo Fan,Part 121: Air Carrier,Unknown,0,1,0,67,VMC,Climb,Probable Cause,1982,Boeing 737
25,20020917X04908,Accident,11/11/82,,,,Fatal,Unknown,Airplane,Boeing,707,4,Turbo Fan,Part 121: Air Carrier,Unknown,1,0,0,3,VMC,Climb,Probable Cause,1982,Boeing 707
26,20020917X04669,Incident,11/22/82,,,ADAMS,Incident,Minor,Airplane,Boeing,727,3,Turbo Fan,Part 121: Air Carrier,Unknown,0,0,0,23,IMC,Landing,Probable Cause,1982,Boeing 727
27,20020917X04910,Accident,11/27/82,,,MIAMI INTERNATIONAL,Fatal,Substantial,Airplane,Boeing,707,4,Turbo Fan,Part 129: Foreign,Unknown,0,0,0,116,VMC,Takeoff,Probable Cause,1982,Boeing 707
28,20020917X04339,Incident,12/5/82,,,SMITH REYNOLDS,Incident,Minor,Airplane,Boeing,737,2,Turbo Fan,Part 91: General Aviation,Unknown,0,0,0,5,VMC,Approach,Probable Cause,1982,Boeing 737
29,20020917X04915,Incident,12/6/82,,,SARASOTA-BRADENTON,Incident,Minor,Airplane,Boeing,727,3,Turbo Fan,Part 121: Air Carrier,Unknown,0,0,0,21,VMC,Takeoff,Probable Cause,1982,Boeing 727
30,20020917X04570,Accident,12/9/82,,,STAPELTON INTERNATIONAL,Fatal,Unknown,Airplane,Boeing,737,2,Turbo Fan,Part 121: Air Carrier,Unknown,0,0,0,57,VMC,Taxi,Probable Cause,1982,Boeing 737
31,20020917X04672,Incident,12/26/82,,,MEMPHIS INTL,Incident,Minor,Airplane,Boeing,727,3,Turbo Fan,Part 121: Air Carrier,Unknown,0,0,0,58,IMC,Go-around,Probable Cause,1982,Boeing 727
32,20020917X04343,Incident,12/28/82,,,WASHINGTON NATIONAL,Incident,Unknown,Airplane,Boeing,737,2,Turbo Jet,Part 121: Air Carrier,Unknown,0,0,0,73,VMC,Approach,Probable Cause,1982,Boeing 737
33,20001214X42478,Incident,3/18/83,,,LOS ANGELES INTL,Incident,Minor,Airplane,Boeing,747,4,Turbo Fan,Part 129: Foreign,Uknown,,,,588,VMC,Taxi,Probable Cause,1983,Boeing 747
34,20001214X45013,Incident,11/8/83,,,O'HARE,Incident,Minor,Airplane,Boeing,727,3,Turbo Fan,Part 121: Air Carrier,Unknown,,,,100,VMC,Taxi,Probable Cause,1983,Boeing 727
35,20001213X30244,Accident,2/14/87,,,,Fatal,Unknown,Airplane,Boeing,707,4,Turbo Jet,Part 121: Air Carrier,Unknown,1,,3,131,UNK,Unknown,Foreign,1987,Boeing 707
36,20001213X25535,Accident,4/16/88,,,,Fatal,Unknown,Airplane,Boeing,757,2,Unknown,Part 121: Air Carrier,Uknown,,1,,192,UNK,Unknown,Foreign,1988,Boeing 757
37,20001213X25661,Incident,5/2/88,,,TOKYO-NARITA,Incident,Minor,Airplane,Boeing,747,4,Turbo Fan,Part 121: Air Carrier,Unknown,,,,258,VMC,Cruise,Probable Cause,1988,Boeing 747
38,20001213X27446,Accident,12/23/88,38.54,-173.24,,Fatal,Unknown,Airplane,Boeing,747,4,Turbo Fan,Part 121: Air Carrier,Unknown,,1,1,220,UNK,Cruise,Probable Cause,1988,Boeing 747
39,20001212X17360,Incident,6/6/91,,,LOGAN INTERNATIONAL,Incident,Minor,Airplane,Boeing,727,3,Turbo Fan,Part 121: Air Carrier,Unknown,,,,156,VMC,Takeoff,Probable Cause,1991,Boeing 727
40,20001212X18577,Incident,12/12/91,,,,Incident,Minor,Airplane,Boeing,747,0,Unknown,Part 121: Air Carrier,Unknown,,,,,VMC,Unknown,Foreign,1991,Boeing 747
41,20001206X02711,Accident,12/29/94,,,,Fatal,Destroyed,Airplane,Boeing,737,UNK,Unknown,"Non-U.S., Commercial",Unknown,54,21,,,IMC,Unknown,Foreign,1994,Boeing 737
42,20001207X03526,Incident,5/19/95,,,NEWARK INTERNATIONAL,Incident,Minor,Airplane,Boeing,737,2,Turbo Fan,Part 121: Air Carrier,Unknown,,,,288,VMC,Taxi,Probable Cause,1995,Boeing 737
43,20001207X03526,Incident,5/19/95,,,NEWARK INTERNATIONAL,Incident,Minor,Airplane,Boeing,767,2,Turbo Fan,Part 129: Foreign,Uknown,,,,288,VMC,Taxi,Probable Cause,1995,Boeing 767
44,20001207X04862,Incident,11/7/95,,,,Incident,Minor,Airplane,Boeing,727,UNK,Unknown,Part 121: Air Carrier,Unknown,,,2,10,UNK,Unknown,Foreign,1995,Boeing 727
45,20001207X04990,Accident,12/20/95,,,,Fatal,Destroyed,Airplane,Boeing,757,UNK,Unknown,Part 121: Air Carrier,Unknown,160,4,,,VMC,Unknown,Foreign,1995,Boeing 757
46,20001208X07017,Accident,11/23/96,,,,Fatal,Destroyed,Airplane,Boeing,767,UNK,Unknown,Part 129: Foreign,Unknown,125,44,2,4,VMC,Unknown,Foreign,1996,Boeing 767
47,20010711X01386,Incident,2/15/97,,,,Incident,Unknown,Airplane,Boeing,737,UNK,UNK,Part 129: Foreign,Uknown,,,,63,UNK,Unknown,Foreign,1997,Boeing 737
48,20001208X07906,Accident,5/4/97,,,DENVER INTERNATIONAL,Fatal,Unknown,Airplane,Boeing,737,2,Turbo Jet,Part 121: Air Carrier,Unknown,,1,,96,VMC,Standing,Probable Cause,1997,Boeing 737
49,20001208X07895,Accident,5/8/97,,,,Fatal,Destroyed,Airplane,Boeing,737,UNK,Unknown,Part 129: Foreign,Unknown,35,,,,UNK,Unknown,Foreign,1997,Boeing 737
50,20001208X07896,Accident,5/14/97,,,HEATHROW INTERNATIONAL,Fatal,Minor,Airplane,Boeing,747,4,Turbo Fan,Part 129: Foreign,Unknown,,,,573,VMC,Unknown,Foreign,1997,Boeing 747
51,20001208X07896,Accident,5/14/97,,,HEATHROW INTERNATIONAL,Fatal,Substantial,Airplane,Boeing,777,2,Turbo Fan,Part 121: Air Carrier,Unknown,,,,573,VMC,Unknown,Foreign,1997,Boeing 777
52,20001208X08067,Accident,6/3/97,,,,Fatal,Unknown,Airplane,Boeing,767,UNK,Unknown,Part 121: Air Carrier,Unknown,,1,,122,UNK,Unknown,Foreign,1997,Boeing 767
53,20001208X08714,Accident,8/2/97,,,,Fatal,Unknown,Airplane,Boeing,757,UNK,Unknown,Part 121: Air Carrier,Unknown,1,,,149,UNK,Unknown,Foreign,1997,Boeing 757
54,20001208X08606,Accident,8/6/97,,,AGANA INTERNATIONAL AIRPO,Fatal,Destroyed,Airplane,Boeing,747,4,Turbo Fan,Part 129: Foreign,Unknown,228,26,,,IMC,Approach,Probable Cause,1997,Boeing 747
55,20001208X09353,Incident,12/5/97,,,,Incident,Unknown,Airplane,Boeing,707,UNK,Unknown,"Non-U.S., Non-Commercial",Positioning,,,,3,VMC,Unknown,Foreign,1997,Boeing 707
56,20001211X09413,Accident,1/9/98,,,,Fatal,Minor,Airplane,Boeing,767,UNK,Turbo Fan,Part 121: Air Carrier,Unknown,,1,4,87,UNK,Unknown,Foreign,1998,Boeing 767
57,20001211X09533,Incident,2/17/98,,,,Incident,Minor,Airplane,Boeing,757,UNK,Unknown,Part 129: Foreign,Unknown,,,,2,UNK,Unknown,Foreign,1998,Boeing 757
58,20001211X09651,Accident,3/10/98,,,,Fatal,Destroyed,Airplane,Boeing,707,UNK,Unknown,Part 129: Foreign,Unknown,6,,,,UNK,Unknown,Foreign,1998,Boeing 707
