,Make,N.Fatal.Crashes,N.Non.Fatal.Crashes,Total.Crashes,ratio.fatal.to.tot
0,Cessna,3508,122,3630,0.966
1,Piper,1635,60,1695,0.965
2,Boeing,726,512,1238,0.586
3,Beech,602,35,637,0.945
4,Air Tractor,438,10,448,0.978
5,Grumman,292,4,296,0.986
6,Airbus,164,124,288,0.569
7,De Havilland,139,11,150,0.927
8,Embraer,114,27,141,0.809
9,Cirrus,131,6,137,0.956
10,Bombardier,99,24,123,0.805
11,Mcdonnell Douglas,75,39,114,0.658
12,Rockwell,81,4,85,0.953
13,Mooney,79,4,83,0.952
14,Aviat,72,5,77,0.935
15,Aero Commander,67,1,68,0.985
16,Bellanca,65,0,65,1.0
17,Ayres,53,2,55,0.964
18,Douglas,43,11,54,0.796
19,Swearingen,42,6,48,0.875
20,Diamond Aircraft Ind Inc,46,1,47,0.979
21,Learjet,42,2,44,0.955
22,Aeronca,43,1,44,0.977
23,Ayres Corporation,41,0,41,1.0
24,Diamond,35,1,36,0.972
25,British Aerospace,22,11,33,0.667
26,Champion,32,0,32,1.0
27,Raytheon Aircraft Company,30,0,30,1.0
28,Maule,28,0,28,1.0
29,North American,26,1,27,0.963
30,Fairchild,22,5,27,0.815
31,Lockheed,21,6,27,0.778
32,Weatherly,25,0,25,1.0
33,Socata,24,1,25,0.96
34,Gulfstream,23,2,25,0.92
35,Mitsubishi,17,2,19,0.895
36,Schweizer Aircraft Corp,18,1,19,0.947
37,Luscombe,18,0,18,1.0
38,Vans,17,1,18,0.944
39,Rans,14,3,17,0.824
40,Atr,10,7,17,0.588
41,Pilatus,13,3,16,0.812
42,Stinson,16,0,16,1.0
43,Taylorcraft,16,0,16,1.0
44,Fokker,11,4,15,0.733
45,Costruzioni Aeronautiche Tecna,15,0,15,1.0
46,Wsk Pzl Mielec,15,0,15,1.0
47,Raytheon,14,1,15,0.933
48,Flight Design Gmbh,14,0,14,1.0
49,Canadair,11,3,14,0.786
50,Helio,14,0,14,1.0
51,Evektor-Aerotechnik As,13,0,13,1.0
52,Saab,10,3,13,0.769
53,Gulfstream Aerospace,10,2,12,0.833
54,Eagle,12,0,12,1.0
55,Cub Crafters Inc,11,1,12,0.917
56,Thrush Aircraft Inc,11,1,12,0.917
57,Britten Norman,11,1,12,0.917
58,American Champion Aircraft,12,0,12,1.0
59,Israel Aircraft Industries,11,0,11,1.0
60,Schweizer,11,0,11,1.0
61,Waco,10,0,10,1.0
62,Britten-Norman,10,0,10,1.0
63,Pitts,9,0,9,1.0
64,Curtiss Wright,9,0,9,1.0
65,Gulfstream-Schweizer A/C Corp,9,0,9,1.0
66,Convair,8,1,9,0.889
67,Learjet Inc,8,1,9,0.889
68,Embraer S A,7,2,9,0.778
69,Gates Learjet Corp.,8,0,8,1.0
70,General Atomics,7,1,8,0.875
71,Lancair,8,0,8,1.0
72,Tecnam,8,0,8,1.0
73,Piaggio,8,0,8,1.0
74,Hawker,8,0,8,1.0
75,Ercoupe,8,0,8,1.0
76,Diamond Aircraft Industries,7,0,7,1.0
77,Snow,7,0,7,1.0
78,Short Bros,7,0,7,1.0
79,Gulfstream-Schweizer,7,0,7,1.0
80,Gates Learjet,6,1,7,0.857
81,Aircraft Mfg & Dev. Co. (Amd),7,0,7,1.0
82,Robin,5,2,7,0.714
83,Zenith,6,1,7,0.857
84,Dassault,4,2,6,0.667
85,Saab-Scania Ab (Saab),3,3,6,0.5
86,Zenair,6,0,6,1.0
87,Reims,5,1,6,0.833
88,Hawker Siddeley,3,3,6,0.5
89,Mcdonnell Douglas Aircraft Co,6,0,6,1.0
90,Flight Design,6,0,6,1.0
91,Great Lakes,6,0,6,1.0
92,Embraer-Empresa Brasileira De,6,0,6,1.0
93,Cub Crafters,6,0,6,1.0
94,Dassault-Breguet,6,0,6,1.0
95,Quicksilver,6,0,6,1.0
96,American Legend Aircraft Co,6,0,6,1.0
97,Remos Aircraft Gmbh,6,0,6,1.0
98,Dornier,5,1,6,0.833
99,Antonov,3,2,5,0.6
100,Diamond Aircraft Ind Gmbh,5,0,5,1.0
101,Raytheon Corporate Jets,3,2,5,0.6
102,Gulfstream American,3,2,5,0.6
103,Aero Vodochody,5,0,5,1.0
104,Pilatus Aircraft Ltd,5,0,5,1.0
105,Smith,5,0,5,1.0
106,Thrush,5,0,5,1.0
107,Callair,5,0,5,1.0
108,Lake,5,0,5,1.0
109,Canadair Ltd,4,0,4,1.0
110,Pzl Mielec,4,0,4,1.0
111,Gates Lear Jet,3,1,4,0.75
112,Gulfstream American Corp,3,1,4,0.75
113,Short Bros. & Harland,4,0,4,1.0
114,Avid,4,0,4,1.0
115,Cassutt,4,0,4,1.0
116,Yakovlev,4,0,4,1.0
117,Dassault/Sud,3,1,4,0.75
118,Jabiru Usa Sport Aircraft Llc,4,0,4,1.0
119,Tl Ultralight Sro,4,0,4,1.0
120,American Champion (Acac),4,0,4,1.0
121,Liberty Aerospace Incorporated,4,0,4,1.0
122,Navion,4,0,4,1.0
123,Quest,4,0,4,1.0
124,Engineering & Research,4,0,4,1.0
125,Siai-Marchetti,4,0,4,1.0
126,Amateur Construction,4,0,4,1.0
127,Classic Aircraft Corp,4,0,4,1.0
128,Czech Sport Aircraft As,4,0,4,1.0
129,Quest Aircraft Company Llc,4,0,4,1.0
130,Christen Industries Inc,3,0,3,1.0
131,Siai Marchetti,3,0,3,1.0
132,Pacific Aerospace Corp Ltd,3,0,3,1.0
133,Remos,3,0,3,1.0
