,Event.Id,Investigation.Type,Event.Date,Latitude,Longitude,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status
5,20170710X52551,Accident,1979-09-17,42.445277000000004,-70.758333,,Fatal,Substantial,Airplane,Dougals,Dc9,2,Turbo Fan,Part 129: Foreign,UNK,,,1.0,44.0,VMC,Climb,Probable Cause
8,20020909X01561,Accident,1982-01-01,,,HANOVER,Fatal,Substantial,Airplane,Cessna,401B,2,Reciprocating,Part 91: General Aviation,Business,0.0,0.0,0.0,2.0,IMC,Landing,Probable Cause
20,20020917X01894,Accident,1982-01-02,,,WILLOW RUN,Fatal,Substantial,Airplane,Cessna,152,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause
25,20020917X01905,Accident,1982-01-03,,,HANOVER COUNTY,Fatal,Destroyed,Airplane,Cessna,414A,2,Reciprocating,Part 91: General Aviation,Business,8.0,0.0,0.0,0.0,IMC,Approach,Probable Cause
31,20020917X01960,Accident,1982-01-03,,,,Fatal,Substantial,Airplane,Air Tractor,At-301,1,Reciprocating,Part 91: General Aviation,Ferry,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause
33,20020917X02254,Accident,1982-01-04,,,,Fatal,Destroyed,Airplane,Piper,Pa-34-200T,2,Reciprocating,Part 135: Air Taxi & Commuter,UNK,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause
36,20020917X02410,Accident,1982-01-04,,,ALEXANDER HAMILTON,Fatal,Destroyed,Airplane,Cessna,206,1,Reciprocating,Part 91: General Aviation,Business,1.0,0.0,1.0,0.0,VMC,Taxi,Probable Cause
37,20020917X02304,Accident,1982-01-05,,,RAMONA,Fatal,Destroyed,Airplane,Navion,A,1,Reciprocating,Part 91: General Aviation,Business,3.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause
39,20020917X01906,Accident,1982-01-05,,,TOMPKINS COUNTY,Fatal,Destroyed,Airplane,Piper,Pa-31,2,Reciprocating,Part 135: Air Taxi & Commuter,UNK,2.0,0.0,0.0,0.0,VMC,Approach,Probable Cause
40,20020917X01764,Incident,1982-01-05,,,,Incident,Minor,Airplane,Rockwell,114,1,Reciprocating,Part 91: General Aviation,Business,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause
41,20020917X01993,Accident,1982-01-05,,,,Fatal,Substantial,Airplane,Piper,Pa-24-250,1,Reciprocating,Part 91: General Aviation,Business,0.0,1.0,0.0,1.0,VMC,Descent,Probable Cause
42,20020917X01658,Accident,1982-01-05,,,,Fatal,Substantial,Airplane,Piper,Pa-28R-200,1,Reciprocating,Part 91: General Aviation,Ferry,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause
43,20020917X02156,Accident,1982-01-05,,,SPRINGERVILLE,Fatal,Substantial,Airplane,Cessna,Tr182,1,Reciprocating,Part 135: Air Taxi & Commuter,UNK,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause
44,20020917X01651,Accident,1982-01-05,,,BETHEL,Fatal,Substantial,Airplane,Cessna,A185F,1,Reciprocating,Part 135: Air Taxi & Commuter,UNK,0.0,2.0,0.0,0.0,VMC,Takeoff,Probable Cause
45,20020917X02423,Accident,1982-01-06,,,DOWNTOWN,Fatal,Substantial,Airplane,Cessna,340,2,Reciprocating,Part 91: General Aviation,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Approach,Probable Cause
